res_9,Health Care Systems,Food Access Systems,Emergency Systems,Education Systems,Financial Systems,Public Transport,Green Spaces Systems,Food and beverages,Other Systems,gross_amenity_score
891959b99a7ffff,1,1,,,1,,,,,2.5
89195ab0113ffff,,,,,1,,,1,1,0.9
89195c046afffff,,1,,,1,,,,1,1.6
89195cc23afffff,,,,,1,,,,,0.6
89195d34223ffff,,,,,1,,,1,1,0.9
89195d34a8bffff,,,,,1,,,,,0.6
8919726f48fffff,,,,,1,,,,,0.6
89197278e6fffff,,,,,1,,,,,0.6
89182c1720bffff,1,1,,,2,,,,1,3.2
89194a72523ffff,,,,,1,,,5,2,1.8
89194a881b3ffff,,1,,,2,,,5,,3.1
89194e8e88fffff,,1,,,1,,,,1,1.6
89195123467ffff,,,,,2,,,5,,2.2
891959cce43ffff,,,,,1,,,2,,1
89195b46e9bffff,,,,,1,,,,,0.6
89195b6136fffff,,1,,,1,,,2,,1.9
89195d24bc3ffff,,1,,,1,,,4,,2.3
89195d2b1cbffff,,6,,,1,,,11,2,8.4
89195d2b1cfffff,,7,,,1,,,11,2,9.3
89197336613ffff,,,,1,1,,,2,,1.8
8918258580fffff,,,,,,,,2,,0.4
891909ac5a3ffff,,2,,,,,1,7,,3.98
89194a72077ffff,,,,,,,7,1,,5.66
89194ad152bffff,,3,,,,,,4,2,3.7
89194ad3253ffff,1,2,,,,,1,9,,5.38
89194ad3393ffff,,,,,,,,2,,0.4
89194e65d47ffff,,3,,,,,,10,5,5.2
89194ec9a73ffff,,,,1,,,,4,,1.6
89195a2d533ffff,,,,,,,,1,,0.2
89195b7a9b3ffff,2,,,,,,,4,,2.8
89195c384cfffff,1,6,,,,,,14,,9.2
89195c934a7ffff,,,,,,,,1,,0.2
89195da4837ffff,1,1,,,,,,14,,4.7
89195da4d37ffff,,,,,,,,8,1,1.7
89197329233ffff,,,,,,,,1,,0.2
89182e5954fffff,,,,,,,1,,,0.78
89194aaa36fffff,,,,,,,1,1,3,1.28
89195180317ffff,,,,,,,2,,,1.56
89195db482fffff,,,,,,,1,,,0.78
89197322c2bffff,,1,,,,,1,3,,2.28
89182ec0657ffff,1,,,,,,,,1,1.1
8919768eb23ffff,,,,1,,,,,1,0.9
89195bc6e0bffff,,3,,1,1,,,2,1,4.6
891805b4edbffff,,,,,,,,1,,0.2
89182189087ffff,,,,,,,,2,,0.4
89182c16c47ffff,2,4,,,,,,1,1,5.9
89182c8d383ffff,1,1,,,,,,1,,2.1
89182cab017ffff,,1,,,,,,1,,1.1
89182d49443ffff,,,,,,,,1,,0.2
8918746ea07ffff,,1,,,,,,1,1,1.2
891874ae327ffff,1,1,,,,,,1,,2.1
891874aeaabffff,,,,,,,,2,,0.4
891909ac177ffff,2,,,,,,,4,,2.8
891909ac1d3ffff,,,,,,,,1,,0.2
891909acb0bffff,,1,,,,,,1,,1.1
891909acddbffff,1,,,,,,,1,,1.2
891909aceb3ffff,,,,,,,,2,,0.4
89190b06ebbffff,,,,,,,,1,,0.2
89190e84363ffff,,,,,,,,1,,0.2
8919407353bffff,,2,,,,,,1,,2
891942cab9bffff,,1,,,,,,6,1,2.2
891943608afffff,,3,,,,,,2,,3.1
89194373687ffff,,,,,,,,1,,0.2
8919484296fffff,,,,,,,,1,,0.2
8919484a56bffff,,1,,,,,,1,,1.1
89194a0d6b3ffff,,,,,,,,1,1,0.3
89194ad3607ffff,,,,,,,,2,1,0.5
89194ad4b2fffff,,,,,,,,1,,0.2
89194ad8e5bffff,,,,,,,,1,,0.2
89194adb597ffff,,,,,,,,1,,0.2
89194e0d31bffff,,,,,,,,1,,0.2
89194e0e407ffff,1,1,,,,,,2,,2.3
89194e4943bffff,,,,,,,,1,,0.2
89194e505d7ffff,,,,,,,,1,,0.2
89194e8c953ffff,,,,,,,,1,,0.2
89194ed6a7bffff,,1,,,,,,9,,2.7
8919518019bffff,,,,,,,,1,,0.2
8919528f18fffff,,,,,,,,1,,0.2
891954998dbffff,1,,,,,,,2,,1.4
89195546967ffff,,1,,,,,,5,,1.9
89195578b07ffff,,,,,,,,1,,0.2
891955a1cc3ffff,,,,,,,,1,,0.2
891955a3043ffff,1,,,,,,,1,,1.2
89195822d0fffff,,1,,,,,,4,,1.7
89195844913ffff,1,,,1,,,,3,2,2.6
8919586e01bffff,,,,,,,,1,,0.2
89195879863ffff,,,,,,,,1,1,0.3
8919588e12bffff,,,,,,,,2,,0.4
89195970643ffff,,1,,,,,,2,,1.3
891959d4e2bffff,,,,,,,,1,,0.2
89195aa1aafffff,,,,,,,,1,1,0.3
89195ad756bffff,,,,,,,,1,,0.2
89195b8508fffff,,,,,,,,1,,0.2
89195c04b4fffff,1,,,,,,,1,,1.2
89195c2f433ffff,,,,,,,,1,,0.2
89195c340afffff,1,,,,,,,3,,1.6
89195c870cbffff,1,,,,,,,1,,1.2
89195ca01c3ffff,1,,,,,,,1,,1.2
89195ca1a13ffff,,,,,,,,2,,0.4
89195caa1cfffff,1,1,,,,,,3,1,2.6
89195d09ac7ffff,,,,1,,,,4,,1.6
89195d24a63ffff,,,,,,,,1,,0.2
89195d2abb7ffff,,,,1,,,,1,,1
89195d6e1a3ffff,,,,,,,,1,,0.2
89195d77317ffff,,,,,,,,1,,0.2
89195d80863ffff,,,,,,,,1,,0.2
89195d86d17ffff,,,,,,,,1,1,0.3
89195da4aafffff,,,,,,,,1,,0.2
89195da4d13ffff,,,,,,,,3,,0.6
89195dad25bffff,,1,,,,,,1,,1.1
89197215407ffff,,,,,,,,1,,0.2
8919722b0c3ffff,,,,,,,,1,,0.2
89197231697ffff,,,,,,,,1,,0.2
89197276193ffff,,,,,,,,2,,0.4
891972761a3ffff,3,1,,,,,,3,,4.5
8919728b1d7ffff,,,,,,,,1,,0.2
89197322c07ffff,,,,,,,,1,,0.2
89194e8732bffff,,,,,,,,,1,0.1
89190924257ffff,,,,,,,,,1,0.1
891940726bbffff,1,,,,,,,,1,1.1
8919422d057ffff,,,,,,,,,1,0.1
891959715d7ffff,,2,,,,,,2,2,2.4
89180cd0d6bffff,,,,,,,,,1,0.1
8919417146fffff,,,,,,,,,1,0.1
8919464dac3ffff,,,,,,,,,1,0.1
89195915417ffff,,,,,,,,,1,0.1
89195d294abffff,,,,,,,,,1,0.1
89195dc4bd7ffff,,,,,,,,,5,0.5
8919550d663ffff,5,2,,,,,,1,1,7.1
89195da5dc3ffff,1,,,,,,,,,1
89194ec9e43ffff,,,,,,,,,2,0.2
891951b70d7ffff,,,,,,,,,1,0.1
8919529a027ffff,,,,,,,,,1,0.1
89195da6e83ffff,,,,,,,,,1,0.1
89194adac93ffff,1,,,,,,,2,,1.4
