res_7,num_shops
87194e4c9ffffff,0
87194e641ffffff,0
871951384ffffff,0
871952448ffffff,0
8719584b3ffffff,0
871958595ffffff,0
87195911dffffff,0
87195b6f4ffffff,0
87195c352ffffff,0
87195c9b5ffffff,0
87195cc02ffffff,0
871976313ffffff,0
871976a91ffffff,0
871940645ffffff,0
87182a06bffffff,0
87194edb1ffffff,0
871951d6bffffff,0
8719722a0ffffff,0
8718238caffffff,0
871909adaffffff,0
87194e6c1ffffff,0
87182e01dffffff,0
871958742ffffff,0
871951b90ffffff,0
87195c1a1ffffff,0
87182199bffffff,0
871825252ffffff,0
8718256dbffffff,0
87182d35bffffff,0
87182e619ffffff,0
871901253ffffff,0
87190a856ffffff,0
871928132ffffff,0
8719400b2ffffff,0
8719411a3ffffff,0
87194a468ffffff,0
87194e031ffffff,0
87194eb14ffffff,0
871951374ffffff,0
87195254bffffff,0
87195282affffff,0
871956335ffffff,0
871958331ffffff,0
871958906ffffff,0
871958ae3ffffff,0
871959899ffffff,0
87195bc33ffffff,0
87195c175ffffff,0
87195dc80ffffff,0
87195e944ffffff,0
87194072dffffff,0
87194334affffff,0
87195279cffffff,0
871958b9bffffff,0
871955435ffffff,0
8718232ceffffff,0
871958da0ffffff,0
87190a8e1ffffff,0
87195ab52ffffff,0
8719296e9ffffff,0
871948474ffffff,0
87195cd54ffffff,0
871973d1affffff,0
871951b0effffff,0
871955c03ffffff,0
8719725a9ffffff,0
87194a4dbffffff,0
871959108ffffff,0
871959b83ffffff,0
8719520c1ffffff,0
87182e85affffff,0
87190bd25ffffff,0
871801a73ffffff,0
8719094d3ffffff,0
87190d850ffffff,0
87192b74dffffff,0
8719464a4ffffff,0
871951325ffffff,0
871951a64ffffff,0
871955c59ffffff,0
87195662affffff,0
87195931affffff,0
8719597a1ffffff,0
8719597aeffffff,0
87195c118ffffff,0
87195ca41ffffff,0
87195ac36ffffff,0
8719420a3ffffff,0
87195d08dffffff,0
871973ad0ffffff,0
871946a82ffffff,0
8718280b0ffffff,0
871870d4affffff,0
871942216ffffff,0
8719424daffffff,0
87194e00affffff,0
87194e94bffffff,0
87194ed05ffffff,0
8719518a8ffffff,0
871946475ffffff,0
87194a076ffffff,0
8719436d1ffffff,0
8718284b2ffffff,0
871942cd4ffffff,0
87194ad62ffffff,0
871951d68ffffff,0
87197664affffff,0
87195c64cffffff,0
871825260ffffff,0
871825619ffffff,0
871825a76ffffff,0
871825bb1ffffff,0
871942281ffffff,0
871942874ffffff,0
871942a8affffff,0
871942ad3ffffff,0
87194c589ffffff,0
87194e8deffffff,0
87194e951ffffff,0
871951246ffffff,0
871952c92ffffff,0
8719552ddffffff,0
8719556a1ffffff,0
8719564e9ffffff,0
871958c60ffffff,0
8719594b1ffffff,0
87195b6a4ffffff,0
87195b86effffff,0
87195c288ffffff,0
87195e159ffffff,0
87195eae3ffffff,0
871973319ffffff,0
871973415ffffff,0
87182e21effffff,0
871942844ffffff,0
871955b8bffffff,0
871958786ffffff,0
87195b71effffff,0
87195d571ffffff,0
87194e2d8ffffff,0
87195431cffffff,0
871823002ffffff,0
87182a7adffffff,0
8719732f1ffffff,0
87182c773ffffff,0
87190945dffffff,0
87194641effffff,0
87194e471ffffff,0
87195475bffffff,0
87195b9aeffffff,0
87182a0dbffffff,0
87182355effffff,0
8719410cbffffff,0
871801b00ffffff,0
87182c16dffffff,0
871909070ffffff,0
871941052ffffff,0
871942252ffffff,0
8719424d6ffffff,0
871942586ffffff,0
871943631ffffff,0
871942914ffffff,0
871955b05ffffff,0
871958771ffffff,0
87195899dffffff,0
87195b684ffffff,0
87195bc32ffffff,0
87195d365ffffff,0
871874b91ffffff,0
8719410c8ffffff,0
87194e0dcffffff,0
87182a336ffffff,0
87195da0bffffff,0
871951a9effffff,0
871951173ffffff,0
87194e41effffff,0
871951220ffffff,0
871825243ffffff,0
87194a155ffffff,0
87195988affffff,0
87195c05effffff,0
87195d04bffffff,0
87195d31dffffff,0
8719720b2ffffff,0
87197664bffffff,0
87182e7a1ffffff,0
871952196ffffff,0
871823065ffffff,0
87195a873ffffff,0
87195c0daffffff,0
87194e6c2ffffff,0
8709a466affffff,0
8709a4661ffffff,0
871825361ffffff,0
871825a15ffffff,0
87182d262ffffff,0
871874323ffffff,0
87190d023ffffff,0
8719412c4ffffff,0
871941658ffffff,0
87194174affffff,0
871942046ffffff,0
8719428ecffffff,0
871942905ffffff,0
8719430e4ffffff,0
871946c94ffffff,0
871948484ffffff,0
87194e81effffff,0
87195115dffffff,0
87195138affffff,0
8719520b4ffffff,0
871952912ffffff,0
871952cc0ffffff,0
